factor
"group_mean((open - high)/(returns - close), subindustry)"
"group_zscore((high - open)/(open - adj_close), subindustry)"
"group_rank((high - open)/(open - adj_close), subindustry)"
"group_mean((high - open)/(open - adj_close), subindustry)"
"group_zscore(-(high - open)/(open - adj_close), subindustry)"
"group_rank(-(high - open)/(open - adj_close), subindustry)"
"group_mean(-(high - open)/(open - adj_close), subindustry)"
"group_zscore((high - open)/(high - open), subindustry)"
"group_rank((high - open)/(high - open), subindustry)"
"group_mean((high - open)/(high - open), subindustry)"
"group_zscore(-(high - open)/(high - open), subindustry)"
"group_rank(-(high - open)/(high - open), subindustry)"
"group_mean(-(high - open)/(high - open), subindustry)"
"group_zscore((high - open)/(high - low), subindustry)"
"group_rank((high - open)/(high - low), subindustry)"
"group_mean((high - open)/(high - low), subindustry)"
"group_zscore(-(high - open)/(high - low), subindustry)"
"group_rank(-(high - open)/(high - low), subindustry)"
"group_mean(-(high - open)/(high - low), subindustry)"
"group_zscore((high - open)/(high - close), subindustry)"
"group_rank((high - open)/(high - close), subindustry)"
"group_mean((high - open)/(high - close), subindustry)"
"group_zscore(-(high - open)/(high - close), subindustry)"
"group_rank(-(high - open)/(high - close), subindustry)"
"group_mean(-(high - open)/(high - close), subindustry)"
"group_zscore((high - open)/(high - vwap), subindustry)"
"group_rank((high - open)/(high - vwap), subindustry)"
"group_mean((high - open)/(high - vwap), subindustry)"
"group_zscore(-(high - open)/(high - vwap), subindustry)"
"group_rank(-(high - open)/(high - vwap), subindustry)"
"group_mean(-(high - open)/(high - vwap), subindustry)"
"group_zscore((high - open)/(high - returns), subindustry)"
"group_rank((high - open)/(high - returns), subindustry)"
"group_mean((high - open)/(high - returns), subindustry)"
"group_zscore(-(high - open)/(high - returns), subindustry)"
"group_rank(-(high - open)/(high - returns), subindustry)"
"group_mean(-(high - open)/(high - returns), subindustry)"
"group_zscore((high - open)/(high - adj_close), subindustry)"
"group_rank((high - open)/(high - adj_close), subindustry)"
"group_mean((high - open)/(high - adj_close), subindustry)"
"group_zscore(-(high - open)/(high - adj_close), subindustry)"
"group_rank(-(high - open)/(high - adj_close), subindustry)"
"group_mean(-(high - open)/(high - adj_close), subindustry)"
"group_zscore((high - open)/(low - open), subindustry)"
"group_rank((high - open)/(low - open), subindustry)"
"group_mean((high - open)/(low - open), subindustry)"
"group_zscore(-(high - open)/(low - open), subindustry)"
"group_rank(-(high - open)/(low - open), subindustry)"
"group_mean(-(high - open)/(low - open), subindustry)"
"group_zscore((high - open)/(low - high), subindustry)"
"group_rank((high - open)/(low - high), subindustry)"
"group_mean((high - open)/(low - high), subindustry)"
"group_zscore(-(high - open)/(low - high), subindustry)"
"group_rank(-(high - open)/(low - high), subindustry)"
"group_mean(-(high - open)/(low - high), subindustry)"
"group_zscore((high - open)/(low - close), subindustry)"
"group_rank((high - open)/(low - close), subindustry)"
"group_mean((high - open)/(low - close), subindustry)"
"group_zscore(-(high - open)/(low - close), subindustry)"
"group_rank(-(high - open)/(low - close), subindustry)"
"group_mean(-(high - open)/(low - close), subindustry)"
"group_zscore((high - open)/(low - vwap), subindustry)"
"group_rank((high - open)/(low - vwap), subindustry)"
"group_mean((high - open)/(low - vwap), subindustry)"
"group_zscore(-(high - open)/(low - vwap), subindustry)"
"group_rank(-(high - open)/(low - vwap), subindustry)"
"group_mean(-(high - open)/(low - vwap), subindustry)"
"group_zscore((high - open)/(low - returns), subindustry)"
"group_rank((high - open)/(low - returns), subindustry)"
"group_mean((high - open)/(low - returns), subindustry)"
"group_zscore(-(high - open)/(low - returns), subindustry)"
"group_rank(-(high - open)/(low - returns), subindustry)"
"group_mean(-(high - open)/(low - returns), subindustry)"
"group_zscore((high - open)/(low - adj_close), subindustry)"
"group_rank((high - open)/(low - adj_close), subindustry)"
"group_mean((high - open)/(low - adj_close), subindustry)"
"group_zscore(-(high - open)/(low - adj_close), subindustry)"
"group_rank(-(high - open)/(low - adj_close), subindustry)"
"group_mean(-(high - open)/(low - adj_close), subindustry)"
"group_zscore((high - open)/(close - open), subindustry)"
"group_rank((high - open)/(close - open), subindustry)"
"group_mean((high - open)/(close - open), subindustry)"
"group_zscore(-(high - open)/(close - open), subindustry)"
"group_rank(-(high - open)/(close - open), subindustry)"
"group_mean(-(high - open)/(close - open), subindustry)"
"group_zscore((high - open)/(close - high), subindustry)"
"group_rank((high - open)/(close - high), subindustry)"
"group_mean((high - open)/(close - high), subindustry)"
"group_zscore(-(high - open)/(close - high), subindustry)"
"group_rank(-(high - open)/(close - high), subindustry)"
"group_mean(-(high - open)/(close - high), subindustry)"
"group_zscore((high - open)/(close - low), subindustry)"
"group_rank((high - open)/(close - low), subindustry)"
"group_mean((high - open)/(close - low), subindustry)"
"group_zscore(-(high - open)/(close - low), subindustry)"
"group_rank(-(high - open)/(close - low), subindustry)"
"group_mean(-(high - open)/(close - low), subindustry)"
"group_zscore((high - open)/(close - vwap), subindustry)"
"group_rank((high - open)/(close - vwap), subindustry)"
"group_mean((high - open)/(close - vwap), subindustry)"
"group_zscore(-(high - open)/(close - vwap), subindustry)"
"group_rank(-(high - open)/(close - vwap), subindustry)"
"group_mean(-(high - open)/(close - vwap), subindustry)"
"group_zscore((high - open)/(close - returns), subindustry)"
"group_rank((high - open)/(close - returns), subindustry)"
"group_mean((high - open)/(close - returns), subindustry)"
"group_zscore(-(high - open)/(close - returns), subindustry)"
"group_rank(-(high - open)/(close - returns), subindustry)"
"group_mean(-(high - open)/(close - returns), subindustry)"
"group_zscore((high - open)/(close - adj_close), subindustry)"
"group_rank((high - open)/(close - adj_close), subindustry)"
"group_mean((high - open)/(close - adj_close), subindustry)"
"group_zscore(-(high - open)/(close - adj_close), subindustry)"
"group_rank(-(high - open)/(close - adj_close), subindustry)"
"group_mean(-(high - open)/(close - adj_close), subindustry)"
"group_zscore((high - open)/(vwap - open), subindustry)"
"group_rank((high - open)/(vwap - open), subindustry)"
"group_mean((high - open)/(vwap - open), subindustry)"
"group_zscore(-(high - open)/(vwap - open), subindustry)"
"group_rank(-(high - open)/(vwap - open), subindustry)"
"group_mean(-(high - open)/(vwap - open), subindustry)"
"group_zscore((high - open)/(vwap - high), subindustry)"
"group_rank((high - open)/(vwap - high), subindustry)"
"group_mean((high - open)/(vwap - high), subindustry)"
"group_zscore(-(high - open)/(vwap - high), subindustry)"
"group_rank(-(high - open)/(vwap - high), subindustry)"
"group_mean(-(high - open)/(vwap - high), subindustry)"
"group_zscore((high - open)/(vwap - low), subindustry)"
"group_rank((high - open)/(vwap - low), subindustry)"
"group_mean((high - open)/(vwap - low), subindustry)"
"group_zscore(-(high - open)/(vwap - low), subindustry)"
"group_rank(-(high - open)/(vwap - low), subindustry)"
"group_mean(-(high - open)/(vwap - low), subindustry)"
"group_zscore((high - open)/(vwap - close), subindustry)"
"group_rank((high - open)/(vwap - close), subindustry)"
"group_mean((high - open)/(vwap - close), subindustry)"
"group_zscore(-(high - open)/(vwap - close), subindustry)"
"group_rank(-(high - open)/(vwap - close), subindustry)"
"group_mean(-(high - open)/(vwap - close), subindustry)"
"group_zscore((high - open)/(vwap - returns), subindustry)"
"group_rank((high - open)/(vwap - returns), subindustry)"
"group_mean((high - open)/(vwap - returns), subindustry)"
"group_zscore(-(high - open)/(vwap - returns), subindustry)"
"group_rank(-(high - open)/(vwap - returns), subindustry)"
"group_mean(-(high - open)/(vwap - returns), subindustry)"
"group_zscore((high - open)/(vwap - adj_close), subindustry)"
"group_rank((high - open)/(vwap - adj_close), subindustry)"
"group_mean((high - open)/(vwap - adj_close), subindustry)"
"group_zscore(-(high - open)/(vwap - adj_close), subindustry)"
"group_rank(-(high - open)/(vwap - adj_close), subindustry)"
"group_mean(-(high - open)/(vwap - adj_close), subindustry)"
"group_zscore((high - open)/(returns - open), subindustry)"
"group_rank((high - open)/(returns - open), subindustry)"
"group_mean((high - open)/(returns - open), subindustry)"
"group_zscore(-(high - open)/(returns - open), subindustry)"
"group_rank(-(high - open)/(returns - open), subindustry)"
"group_mean(-(high - open)/(returns - open), subindustry)"
"group_zscore((high - open)/(returns - high), subindustry)"
"group_rank((high - open)/(returns - high), subindustry)"
"group_mean((high - open)/(returns - high), subindustry)"
"group_zscore(-(high - open)/(returns - high), subindustry)"
"group_rank(-(high - open)/(returns - high), subindustry)"
"group_mean(-(high - open)/(returns - high), subindustry)"
"group_zscore((high - open)/(returns - low), subindustry)"
"group_rank((high - open)/(returns - low), subindustry)"
"group_mean((high - open)/(returns - low), subindustry)"
"group_zscore(-(high - open)/(returns - low), subindustry)"
"group_rank(-(high - open)/(returns - low), subindustry)"
"group_mean(-(high - open)/(returns - low), subindustry)"
"group_zscore((high - open)/(returns - close), subindustry)"
"group_rank((high - open)/(returns - close), subindustry)"
"group_mean((high - open)/(returns - close), subindustry)"
"group_zscore(-(high - open)/(returns - close), subindustry)"
"group_rank(-(high - open)/(returns - close), subindustry)"
"group_mean(-(high - open)/(returns - close), subindustry)"
"group_zscore((high - open)/(returns - vwap), subindustry)"
"group_rank((high - open)/(returns - vwap), subindustry)"
"group_mean((high - open)/(returns - vwap), subindustry)"
"group_zscore(-(high - open)/(returns - vwap), subindustry)"
"group_rank(-(high - open)/(returns - vwap), subindustry)"
"group_mean(-(high - open)/(returns - vwap), subindustry)"
"group_zscore((high - open)/(returns - adj_close), subindustry)"
"group_rank((high - open)/(returns - adj_close), subindustry)"
"group_mean((high - open)/(returns - adj_close), subindustry)"
"group_zscore(-(high - open)/(returns - adj_close), subindustry)"
"group_rank(-(high - open)/(returns - adj_close), subindustry)"
"group_mean(-(high - open)/(returns - adj_close), subindustry)"
"group_zscore((high - open)/(adj_close - open), subindustry)"
"group_rank((high - open)/(adj_close - open), subindustry)"
"group_mean((high - open)/(adj_close - open), subindustry)"
"group_zscore(-(high - open)/(adj_close - open), subindustry)"
"group_rank(-(high - open)/(adj_close - open), subindustry)"
"group_mean(-(high - open)/(adj_close - open), subindustry)"
"group_zscore((high - open)/(adj_close - high), subindustry)"
"group_rank((high - open)/(adj_close - high), subindustry)"
"group_mean((high - open)/(adj_close - high), subindustry)"
"group_zscore(-(high - open)/(adj_close - high), subindustry)"
"group_rank(-(high - open)/(adj_close - high), subindustry)"
"group_mean(-(high - open)/(adj_close - high), subindustry)"
"group_zscore((high - open)/(adj_close - low), subindustry)"
"group_rank((high - open)/(adj_close - low), subindustry)"
"group_mean((high - open)/(adj_close - low), subindustry)"
"group_zscore(-(high - open)/(adj_close - low), subindustry)"
"group_rank(-(high - open)/(adj_close - low), subindustry)"
"group_mean(-(high - open)/(adj_close - low), subindustry)"
"group_zscore((high - open)/(adj_close - close), subindustry)"
"group_rank((high - open)/(adj_close - close), subindustry)"
"group_mean((high - open)/(adj_close - close), subindustry)"
"group_zscore(-(high - open)/(adj_close - close), subindustry)"
"group_rank(-(high - open)/(adj_close - close), subindustry)"
"group_mean(-(high - open)/(adj_close - close), subindustry)"
"group_zscore((high - open)/(adj_close - vwap), subindustry)"
"group_rank((high - open)/(adj_close - vwap), subindustry)"
"group_mean((high - open)/(adj_close - vwap), subindustry)"
"group_zscore(-(high - open)/(adj_close - vwap), subindustry)"
"group_rank(-(high - open)/(adj_close - vwap), subindustry)"
"group_mean(-(high - open)/(adj_close - vwap), subindustry)"
"group_zscore((high - open)/(adj_close - returns), subindustry)"
"group_rank((high - open)/(adj_close - returns), subindustry)"
"group_mean((high - open)/(adj_close - returns), subindustry)"
"group_zscore(-(high - open)/(adj_close - returns), subindustry)"
"group_rank(-(high - open)/(adj_close - returns), subindustry)"
"group_mean(-(high - open)/(adj_close - returns), subindustry)"
"group_zscore((high - low)/(open - high), subindustry)"
"group_rank((high - low)/(open - high), subindustry)"
"group_mean((high - low)/(open - high), subindustry)"
"group_zscore(-(high - low)/(open - high), subindustry)"
"group_rank(-(high - low)/(open - high), subindustry)"
"group_mean(-(high - low)/(open - high), subindustry)"
"group_zscore((high - low)/(open - low), subindustry)"
"group_rank((high - low)/(open - low), subindustry)"
"group_mean((high - low)/(open - low), subindustry)"
"group_zscore(-(high - low)/(open - low), subindustry)"
"group_rank(-(high - low)/(open - low), subindustry)"
"group_mean(-(high - low)/(open - low), subindustry)"
"group_zscore((high - low)/(open - close), subindustry)"
"group_rank((high - low)/(open - close), subindustry)"
"group_mean((high - low)/(open - close), subindustry)"
"group_zscore(-(high - low)/(open - close), subindustry)"
"group_rank(-(high - low)/(open - close), subindustry)"
"group_mean(-(high - low)/(open - close), subindustry)"
"group_zscore((high - low)/(open - vwap), subindustry)"
"group_rank((high - low)/(open - vwap), subindustry)"
"group_mean((high - low)/(open - vwap), subindustry)"
"group_zscore(-(high - low)/(open - vwap), subindustry)"
"group_rank(-(high - low)/(open - vwap), subindustry)"
"group_mean(-(high - low)/(open - vwap), subindustry)"
"group_zscore((high - low)/(open - returns), subindustry)"
"group_rank((high - low)/(open - returns), subindustry)"
"group_mean((high - low)/(open - returns), subindustry)"
"group_zscore(-(high - low)/(open - returns), subindustry)"
"group_rank(-(high - low)/(open - returns), subindustry)"
"group_mean(-(high - low)/(open - returns), subindustry)"
"group_zscore((high - low)/(open - adj_close), subindustry)"
"group_rank((high - low)/(open - adj_close), subindustry)"
"group_mean((high - low)/(open - adj_close), subindustry)"
"group_zscore(-(high - low)/(open - adj_close), subindustry)"
"group_rank(-(high - low)/(open - adj_close), subindustry)"
"group_mean(-(high - low)/(open - adj_close), subindustry)"
"group_zscore((high - low)/(high - open), subindustry)"
"group_rank((high - low)/(high - open), subindustry)"
"group_mean((high - low)/(high - open), subindustry)"
"group_zscore(-(high - low)/(high - open), subindustry)"
"group_rank(-(high - low)/(high - open), subindustry)"
"group_mean(-(high - low)/(high - open), subindustry)"
"group_zscore((high - low)/(high - low), subindustry)"
"group_rank((high - low)/(high - low), subindustry)"
"group_mean((high - low)/(high - low), subindustry)"
"group_zscore(-(high - low)/(high - low), subindustry)"
"group_rank(-(high - low)/(high - low), subindustry)"
"group_mean(-(high - low)/(high - low), subindustry)"
"group_zscore((high - low)/(high - close), subindustry)"
"group_rank((high - low)/(high - close), subindustry)"
"group_mean((high - low)/(high - close), subindustry)"
"group_zscore(-(high - low)/(high - close), subindustry)"
"group_rank(-(high - low)/(high - close), subindustry)"
"group_mean(-(high - low)/(high - close), subindustry)"
"group_zscore((high - low)/(high - vwap), subindustry)"
"group_rank((high - low)/(high - vwap), subindustry)"
"group_mean((high - low)/(high - vwap), subindustry)"
"group_zscore(-(high - low)/(high - vwap), subindustry)"
"group_rank(-(high - low)/(high - vwap), subindustry)"
"group_mean(-(high - low)/(high - vwap), subindustry)"
"group_zscore((high - low)/(high - returns), subindustry)"
"group_rank((high - low)/(high - returns), subindustry)"
"group_mean((high - low)/(high - returns), subindustry)"
"group_zscore(-(high - low)/(high - returns), subindustry)"
"group_rank(-(high - low)/(high - returns), subindustry)"
"group_mean(-(high - low)/(high - returns), subindustry)"
"group_zscore((high - low)/(high - adj_close), subindustry)"
"group_rank((high - low)/(high - adj_close), subindustry)"
"group_mean((high - low)/(high - adj_close), subindustry)"
"group_zscore(-(high - low)/(high - adj_close), subindustry)"
"group_rank(-(high - low)/(high - adj_close), subindustry)"
"group_mean(-(high - low)/(high - adj_close), subindustry)"
"group_zscore((high - low)/(low - open), subindustry)"
"group_rank((high - low)/(low - open), subindustry)"
"group_mean((high - low)/(low - open), subindustry)"
"group_zscore(-(high - low)/(low - open), subindustry)"
"group_rank(-(high - low)/(low - open), subindustry)"
"group_mean(-(high - low)/(low - open), subindustry)"
"group_zscore((high - low)/(low - high), subindustry)"
"group_rank((high - low)/(low - high), subindustry)"
"group_mean((high - low)/(low - high), subindustry)"
"group_zscore(-(high - low)/(low - high), subindustry)"
"group_rank(-(high - low)/(low - high), subindustry)"
"group_mean(-(high - low)/(low - high), subindustry)"
"group_zscore((high - low)/(low - close), subindustry)"
"group_rank((high - low)/(low - close), subindustry)"
"group_mean((high - low)/(low - close), subindustry)"
"group_zscore(-(high - low)/(low - close), subindustry)"
"group_rank(-(high - low)/(low - close), subindustry)"
"group_mean(-(high - low)/(low - close), subindustry)"
"group_zscore((high - low)/(low - vwap), subindustry)"
"group_rank((high - low)/(low - vwap), subindustry)"
"group_mean((high - low)/(low - vwap), subindustry)"
"group_zscore(-(high - low)/(low - vwap), subindustry)"
"group_rank(-(high - low)/(low - vwap), subindustry)"
"group_mean(-(high - low)/(low - vwap), subindustry)"
"group_zscore((high - low)/(low - returns), subindustry)"
"group_rank((high - low)/(low - returns), subindustry)"
"group_mean((high - low)/(low - returns), subindustry)"
"group_zscore(-(high - low)/(low - returns), subindustry)"
"group_rank(-(high - low)/(low - returns), subindustry)"
"group_mean(-(high - low)/(low - returns), subindustry)"
"group_zscore((high - low)/(low - adj_close), subindustry)"
"group_rank((high - low)/(low - adj_close), subindustry)"
"group_mean((high - low)/(low - adj_close), subindustry)"
"group_zscore(-(high - low)/(low - adj_close), subindustry)"
"group_rank(-(high - low)/(low - adj_close), subindustry)"
"group_mean(-(high - low)/(low - adj_close), subindustry)"
"group_zscore((high - low)/(close - open), subindustry)"
"group_rank((high - low)/(close - open), subindustry)"
"group_mean((high - low)/(close - open), subindustry)"
"group_zscore(-(high - low)/(close - open), subindustry)"
"group_rank(-(high - low)/(close - open), subindustry)"
"group_mean(-(high - low)/(close - open), subindustry)"
"group_zscore((high - low)/(close - high), subindustry)"
"group_rank((high - low)/(close - high), subindustry)"
"group_mean((high - low)/(close - high), subindustry)"
"group_zscore(-(high - low)/(close - high), subindustry)"
"group_rank(-(high - low)/(close - high), subindustry)"
"group_mean(-(high - low)/(close - high), subindustry)"
"group_zscore((high - low)/(close - low), subindustry)"
"group_rank((high - low)/(close - low), subindustry)"
"group_mean((high - low)/(close - low), subindustry)"
"group_zscore(-(high - low)/(close - low), subindustry)"
"group_rank(-(high - low)/(close - low), subindustry)"
"group_mean(-(high - low)/(close - low), subindustry)"
"group_zscore((high - low)/(close - vwap), subindustry)"
"group_rank((high - low)/(close - vwap), subindustry)"
"group_mean((high - low)/(close - vwap), subindustry)"
"group_zscore(-(high - low)/(close - vwap), subindustry)"
"group_rank(-(high - low)/(close - vwap), subindustry)"
"group_mean(-(high - low)/(close - vwap), subindustry)"
"group_zscore((high - low)/(close - returns), subindustry)"
"group_rank((high - low)/(close - returns), subindustry)"
"group_mean((high - low)/(close - returns), subindustry)"
"group_zscore(-(high - low)/(close - returns), subindustry)"
"group_rank(-(high - low)/(close - returns), subindustry)"
"group_mean(-(high - low)/(close - returns), subindustry)"
"group_zscore((high - low)/(close - adj_close), subindustry)"
"group_rank((high - low)/(close - adj_close), subindustry)"
"group_mean((high - low)/(close - adj_close), subindustry)"
"group_zscore(-(high - low)/(close - adj_close), subindustry)"
"group_rank(-(high - low)/(close - adj_close), subindustry)"
"group_mean(-(high - low)/(close - adj_close), subindustry)"
"group_zscore((high - low)/(vwap - open), subindustry)"
"group_rank((high - low)/(vwap - open), subindustry)"
"group_mean((high - low)/(vwap - open), subindustry)"
"group_zscore(-(high - low)/(vwap - open), subindustry)"
"group_rank(-(high - low)/(vwap - open), subindustry)"
"group_mean(-(high - low)/(vwap - open), subindustry)"
"group_zscore((high - low)/(vwap - high), subindustry)"
"group_rank((high - low)/(vwap - high), subindustry)"
"group_mean((high - low)/(vwap - high), subindustry)"
"group_zscore(-(high - low)/(vwap - high), subindustry)"
"group_rank(-(high - low)/(vwap - high), subindustry)"
"group_mean(-(high - low)/(vwap - high), subindustry)"
"group_zscore((high - low)/(vwap - low), subindustry)"
"group_rank((high - low)/(vwap - low), subindustry)"
"group_mean((high - low)/(vwap - low), subindustry)"
"group_zscore(-(high - low)/(vwap - low), subindustry)"
"group_rank(-(high - low)/(vwap - low), subindustry)"
"group_mean(-(high - low)/(vwap - low), subindustry)"
"group_zscore((high - low)/(vwap - close), subindustry)"
"group_rank((high - low)/(vwap - close), subindustry)"
"group_mean((high - low)/(vwap - close), subindustry)"
"group_zscore(-(high - low)/(vwap - close), subindustry)"
"group_rank(-(high - low)/(vwap - close), subindustry)"
"group_mean(-(high - low)/(vwap - close), subindustry)"
"group_zscore((high - low)/(vwap - returns), subindustry)"
"group_rank((high - low)/(vwap - returns), subindustry)"
"group_mean((high - low)/(vwap - returns), subindustry)"
"group_zscore(-(high - low)/(vwap - returns), subindustry)"
"group_rank(-(high - low)/(vwap - returns), subindustry)"
"group_mean(-(high - low)/(vwap - returns), subindustry)"
"group_zscore((high - low)/(vwap - adj_close), subindustry)"
"group_rank((high - low)/(vwap - adj_close), subindustry)"
"group_mean((high - low)/(vwap - adj_close), subindustry)"
"group_zscore(-(high - low)/(vwap - adj_close), subindustry)"
"group_rank(-(high - low)/(vwap - adj_close), subindustry)"
"group_mean(-(high - low)/(vwap - adj_close), subindustry)"
"group_zscore((high - low)/(returns - open), subindustry)"
"group_rank((high - low)/(returns - open), subindustry)"
"group_mean((high - low)/(returns - open), subindustry)"
"group_zscore(-(high - low)/(returns - open), subindustry)"
"group_rank(-(high - low)/(returns - open), subindustry)"
"group_mean(-(high - low)/(returns - open), subindustry)"
"group_zscore((high - low)/(returns - high), subindustry)"
"group_rank((high - low)/(returns - high), subindustry)"
"group_mean((high - low)/(returns - high), subindustry)"
"group_zscore(-(high - low)/(returns - high), subindustry)"
"group_rank(-(high - low)/(returns - high), subindustry)"
"group_mean(-(high - low)/(returns - high), subindustry)"
"group_zscore((high - low)/(returns - low), subindustry)"
"group_rank((high - low)/(returns - low), subindustry)"
"group_mean((high - low)/(returns - low), subindustry)"
"group_zscore(-(high - low)/(returns - low), subindustry)"
"group_rank(-(high - low)/(returns - low), subindustry)"
"group_mean(-(high - low)/(returns - low), subindustry)"
"group_zscore((high - low)/(returns - close), subindustry)"
"group_rank((high - low)/(returns - close), subindustry)"
"group_mean((high - low)/(returns - close), subindustry)"
"group_zscore(-(high - low)/(returns - close), subindustry)"
"group_rank(-(high - low)/(returns - close), subindustry)"
"group_mean(-(high - low)/(returns - close), subindustry)"
"group_zscore((high - low)/(returns - vwap), subindustry)"
"group_rank((high - low)/(returns - vwap), subindustry)"
"group_mean((high - low)/(returns - vwap), subindustry)"
"group_zscore(-(high - low)/(returns - vwap), subindustry)"
"group_rank(-(high - low)/(returns - vwap), subindustry)"
"group_mean(-(high - low)/(returns - vwap), subindustry)"
"group_zscore((high - low)/(returns - adj_close), subindustry)"
"group_rank((high - low)/(returns - adj_close), subindustry)"
"group_mean((high - low)/(returns - adj_close), subindustry)"
"group_zscore(-(high - low)/(returns - adj_close), subindustry)"
"group_rank(-(high - low)/(returns - adj_close), subindustry)"
"group_mean(-(high - low)/(returns - adj_close), subindustry)"
"group_zscore((high - low)/(adj_close - open), subindustry)"
"group_rank((high - low)/(adj_close - open), subindustry)"
"group_mean((high - low)/(adj_close - open), subindustry)"
"group_zscore(-(high - low)/(adj_close - open), subindustry)"
"group_rank(-(high - low)/(adj_close - open), subindustry)"
"group_mean(-(high - low)/(adj_close - open), subindustry)"
"group_zscore((high - low)/(adj_close - high), subindustry)"
"group_rank((high - low)/(adj_close - high), subindustry)"
"group_mean((high - low)/(adj_close - high), subindustry)"
"group_zscore(-(high - low)/(adj_close - high), subindustry)"
"group_rank(-(high - low)/(adj_close - high), subindustry)"
"group_mean(-(high - low)/(adj_close - high), subindustry)"
"group_zscore((high - low)/(adj_close - low), subindustry)"
"group_rank((high - low)/(adj_close - low), subindustry)"
"group_mean((high - low)/(adj_close - low), subindustry)"
"group_zscore(-(high - low)/(adj_close - low), subindustry)"
"group_rank(-(high - low)/(adj_close - low), subindustry)"
"group_mean(-(high - low)/(adj_close - low), subindustry)"
"group_zscore((high - low)/(adj_close - close), subindustry)"
"group_rank((high - low)/(adj_close - close), subindustry)"
"group_mean((high - low)/(adj_close - close), subindustry)"
"group_zscore(-(high - low)/(adj_close - close), subindustry)"
"group_rank(-(high - low)/(adj_close - close), subindustry)"
"group_mean(-(high - low)/(adj_close - close), subindustry)"
"group_zscore((high - low)/(adj_close - vwap), subindustry)"
"group_rank((high - low)/(adj_close - vwap), subindustry)"
"group_mean((high - low)/(adj_close - vwap), subindustry)"
"group_zscore(-(high - low)/(adj_close - vwap), subindustry)"
"group_rank(-(high - low)/(adj_close - vwap), subindustry)"
"group_mean(-(high - low)/(adj_close - vwap), subindustry)"
"group_zscore((high - low)/(adj_close - returns), subindustry)"
"group_rank((high - low)/(adj_close - returns), subindustry)"
"group_mean((high - low)/(adj_close - returns), subindustry)"
"group_zscore(-(high - low)/(adj_close - returns), subindustry)"
"group_rank(-(high - low)/(adj_close - returns), subindustry)"
"group_mean(-(high - low)/(adj_close - returns), subindustry)"
"group_zscore((high - close)/(open - high), subindustry)"
"group_rank((high - close)/(open - high), subindustry)"
"group_mean((high - close)/(open - high), subindustry)"
"group_zscore(-(high - close)/(open - high), subindustry)"
"group_rank(-(high - close)/(open - high), subindustry)"
"group_mean(-(high - close)/(open - high), subindustry)"
"group_zscore((high - close)/(open - low), subindustry)"
"group_rank((high - close)/(open - low), subindustry)"
"group_mean((high - close)/(open - low), subindustry)"
"group_zscore(-(high - close)/(open - low), subindustry)"
"group_rank(-(high - close)/(open - low), subindustry)"
"group_mean(-(high - close)/(open - low), subindustry)"
"group_zscore((high - close)/(open - close), subindustry)"
"group_rank((high - close)/(open - close), subindustry)"
"group_mean((high - close)/(open - close), subindustry)"
"group_zscore(-(high - close)/(open - close), subindustry)"
"group_rank(-(high - close)/(open - close), subindustry)"
"group_mean(-(high - close)/(open - close), subindustry)"
"group_zscore((high - close)/(open - vwap), subindustry)"
"group_rank((high - close)/(open - vwap), subindustry)"
"group_mean((high - close)/(open - vwap), subindustry)"
"group_zscore(-(high - close)/(open - vwap), subindustry)"
"group_rank(-(high - close)/(open - vwap), subindustry)"
"group_mean(-(high - close)/(open - vwap), subindustry)"
"group_zscore((high - close)/(open - returns), subindustry)"
"group_rank((high - close)/(open - returns), subindustry)"
"group_mean((high - close)/(open - returns), subindustry)"
"group_zscore(-(high - close)/(open - returns), subindustry)"
"group_rank(-(high - close)/(open - returns), subindustry)"
"group_mean(-(high - close)/(open - returns), subindustry)"
"group_zscore((high - close)/(open - adj_close), subindustry)"
"group_rank((high - close)/(open - adj_close), subindustry)"
"group_mean((high - close)/(open - adj_close), subindustry)"
"group_zscore(-(high - close)/(open - adj_close), subindustry)"
"group_rank(-(high - close)/(open - adj_close), subindustry)"
"group_mean(-(high - close)/(open - adj_close), subindustry)"
"group_zscore((high - close)/(high - open), subindustry)"
"group_rank((high - close)/(high - open), subindustry)"
"group_mean((high - close)/(high - open), subindustry)"
"group_zscore(-(high - close)/(high - open), subindustry)"
"group_rank(-(high - close)/(high - open), subindustry)"
"group_mean(-(high - close)/(high - open), subindustry)"
"group_zscore((high - close)/(high - low), subindustry)"
"group_rank((high - close)/(high - low), subindustry)"
"group_mean((high - close)/(high - low), subindustry)"
"group_zscore(-(high - close)/(high - low), subindustry)"
"group_rank(-(high - close)/(high - low), subindustry)"
"group_mean(-(high - close)/(high - low), subindustry)"
"group_zscore((high - close)/(high - close), subindustry)"
"group_rank((high - close)/(high - close), subindustry)"
"group_mean((high - close)/(high - close), subindustry)"
"group_zscore(-(high - close)/(high - close), subindustry)"
"group_rank(-(high - close)/(high - close), subindustry)"
"group_mean(-(high - close)/(high - close), subindustry)"
"group_zscore((high - close)/(high - vwap), subindustry)"
"group_rank((high - close)/(high - vwap), subindustry)"
"group_mean((high - close)/(high - vwap), subindustry)"
"group_zscore(-(high - close)/(high - vwap), subindustry)"
"group_rank(-(high - close)/(high - vwap), subindustry)"
"group_mean(-(high - close)/(high - vwap), subindustry)"
"group_zscore((high - close)/(high - returns), subindustry)"
"group_rank((high - close)/(high - returns), subindustry)"
"group_mean((high - close)/(high - returns), subindustry)"
